url,titol,preu_eur,ubicacio,superficie_construida_m2,superficie_util_m2,habitacions,banys,planta,referencia,data_extraccio
https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08003-40870902804_100500/,,2570,,62 m²,,2,,1ª,KASA,2026-04-06
https://www.pisos.com/alquilar/piso-el_poble_sec08004-63366000439_532727/,,1300,,59 m²,,1,,3ª,000015,2026-04-06
https://www.pisos.com/alquilar/piso-el_raval-63360072925_100500/,,2815,,57 m²,,1,,4ª,EUCLEIA,2026-04-06
https://www.pisos.com/alquilar/piso-el_raval-63380053866_100500/,,2540,,44 m²,,1,,2ª,SELENE,2026-04-06
https://www.pisos.com/alquilar/piso-barcelona_capital_eixample-63422500627_106500/,,2600,,80 m²,,3,,3ª,83834526-ROSELLON 01,2026-04-06
https://www.pisos.com/alquilar/piso-el_raval-63418460017_100500/,,2480,,44 m²,,1,,1ª,SAGE,2026-04-06
https://www.pisos.com/alquilar/piso-el_raval-63380563353_100500/,,2269,,44 m²,,1,,4ª,HORAE,2026-04-06
https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08008-63385577897_522145/,,2800,,90 m²,,2,,Principal,000921,2026-04-06
https://www.pisos.com/alquilar/piso-el_baix_guinardo08025-54261868324_515865/,,1300,,60 m²,,3,,5ª,RS6994,2026-04-06
https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08037-39238110916_515865/,,1950,,108 m²,,3,,1ª,RS6782,2026-04-06
https://www.pisos.com/alquilar/atico-la_nova_esquerra_de_eixample08029-63423643511_518209/,,1324,,60 m²,,1,,Bajo,003643,2026-04-06
https://www.pisos.com/alquilar/piso-sarria_sant_gervasi_sarria-63394686222_106400/,,2906,,180 m²,,3,,,183757255-ManuelFalla40,2026-04-06
https://www.pisos.com/alquilar/piso-la_vila_de_gracia08012-9215173470_515865/,,887,,40 m²,,1,,Bajo,RS4007,2026-04-06
https://www.pisos.com/alquilar/piso-el_raval-62554270342_100500/,,2355,,48 m²,,1,,1ª,CALYPSO,2026-04-06
https://www.pisos.com/alquilar/piso-la_nova_esquerra_de_eixample08029-62529551240_515865/,,1913,,90 m²,,3,,Principal,RG7059,2026-04-06
https://www.pisos.com/alquilar/piso-el_camp_en_grassot_gracia_nova08024-62530338348_518209/,,1234,,81 m²,,3,,1ª,003642,2026-04-06
https://www.pisos.com/alquilar/casa_adosada-sant_andreu_barrio-62527676106_106400/,,3000,,250 m²,,5,,,111004632-grau5h,2026-04-06
https://www.pisos.com/alquilar/piso-el_raval-62592538430_106400/,,3300,,120 m²,,3,,,110971277-gravina3h,2026-04-06
https://www.pisos.com/alquilar/piso-la_dreta_de_eixample-62566032965_100500/,,4540,,127 m²,,2,,3ª,PADAR,2026-04-06
https://www.pisos.com/alquilar/piso-la_dreta_de_eixample-62595067442_100500/,,3320,,95 m²,,2,,2ª,NAZARE,2026-04-06
https://www.pisos.com/alquilar/piso-la_dreta_de_eixample-62511451210_100500/,,2685,,50 m²,,1,,2ª,BOREAS,2026-04-06
https://www.pisos.com/alquilar/piso-la_dreta_de_eixample-62515572265_100500/,,2590,,49 m²,,1,,4ª,SOMUNIS,2026-04-06
https://www.pisos.com/alquilar/piso-la_vila_de_gracia08012-62537174606_100500/,,1985,,55 m²,,2,,2ª,LOTUS,2026-04-06
https://www.pisos.com/alquilar/piso-sant_gervasi_galvany08006-62513243608_522145/,,3100,,240 m²,,7,,5ª,000916,2026-04-06
https://www.pisos.com/alquilar/piso-sant_gervasi_galvany08006-62573058345_532727/,,2490,,80 m²,,1,,9ª,000011,2026-04-06
https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08007-62570081252_532727/,,2650,,80 m²,,3,,5ª,000004,2026-04-06
https://www.pisos.com/alquilar/piso-el_raval08001-57507443532_515865/,,821,,65 m²,,2,,4ª,RS7026,2026-04-06
https://www.pisos.com/alquilar/estudio-el_barri_gotic08002-62545705116_518209/,,800,,25 m²,,1,,4ª,001982B,2026-04-06
https://www.pisos.com/alquilar/piso-les_tres_torres08017-62543188714_101800/,,5500,,234 m²,,4,,,2831,2026-04-06
https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08010-62580470548_109300/,,2900,,110 m²,,2,,1ª,3304,2026-04-06
https://www.pisos.com/alquilar/atico-la_vila_de_gracia08037-62582883088_101800/,,3850,,170 m²,,4,,,881,2026-04-06
https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08007-62543634187_522145/,,4500,,160 m²,,4,,Principal,000906,2026-04-06
https://www.pisos.com/alquilar/duplex-sarria_sant_gervasi_sarria-62541741020_100500/,,2200,,183 m²,,4,,Bajo,SPA1240/8414,2026-04-06
https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08007-58368921687_522145/,,3700,,47 m²,,1,,4ª,Rosie,2026-04-06
https://www.pisos.com/alquilar/piso-les_tres_torres08021-62547020875_101800/,,6740,,240 m²,,4,,,1195,2026-04-06
https://www.pisos.com/alquilar/duplex-el_barri_gotic08002-62520566532_101800/,,5200,,125 m²,,2,,,3577,2026-04-06
https://www.pisos.com/alquilar/piso-antiga_esquerra_de_eixample-62507079836_101800/,,5000,,124 m²,,2,,,3187,2026-04-06
https://www.pisos.com/alquilar/atico-la_dreta_de_eixample-62522907570_101800/,,18000,,268 m²,,4,,,2130,2026-04-06
https://www.pisos.com/alquilar/casa-sarria_sant_gervasi_sarria-62573538313_101800/,,12000,,475 m²,,6,,,3017,2026-04-06
https://www.pisos.com/alquilar/piso-antiga_esquerra_de_eixample-62556995104_101800/,,5939,,205 m²,,3,,,1179,2026-04-06
https://www.pisos.com/alquilar/piso-la_dreta_de_eixample-62544148312_101800/,,12800,,145 m²,,3,,,3063,2026-04-06
https://www.pisos.com/alquilar/atico-sant_pere_santa_caterina_la_ribera08003-62578196386_101800/,,7500,,300 m²,,2,,,2709,2026-04-06
https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08003-62567563215_101800/,,3224,,99 m²,,2,,,2798,2026-04-06
https://www.pisos.com/alquilar/atico-les_tres_torres08021-62547227701_101800/,,6400,,300 m²,,5,,,3345,2026-04-06
https://www.pisos.com/alquilar/casa-sarria_sant_gervasi_sarria-62593507072_101800/,,15000,,480 m²,,6,,,3211,2026-04-06
https://www.pisos.com/alquilar/casa-sarria_sant_gervasi_sarria-62584144513_101800/,,20000,,700 m²,,10,,,1765,2026-04-06
https://www.pisos.com/alquilar/duplex-sant_gervasi_la_bonanova08022-62579035942_101800/,,9000,,230 m²,,4,,,3743,2026-04-06
https://www.pisos.com/alquilar/duplex-el_barri_gotic08002-62524155574_101800/,,6800,,156 m²,,2,,,3576,2026-04-06
https://www.pisos.com/alquilar/atico-les_tres_torres08017-62536946668_101800/,,7950,,309 m²,,6,,,3248,2026-04-06
https://www.pisos.com/alquilar/piso-la_dreta_de_eixample-62591679374_101800/,,9500,,181 m²,,3,,,3797,2026-04-06
https://www.pisos.com/alquilar/duplex-el_barri_gotic08002-62572756179_101800/,,7200,,218 m²,,3,,,3596,2026-04-06
https://www.pisos.com/alquilar/piso-les_tres_torres08021-62559419015_101800/,,4000,,200 m²,,5,,,3583,2026-04-06
https://www.pisos.com/alquilar/piso-antiga_esquerra_de_eixample-62579835632_101800/,,11000,,140 m²,,3,,,1823,2026-04-06
https://www.pisos.com/alquilar/duplex-el_barri_gotic08002-62525301502_101800/,,8400,,234 m²,,2,,,3579,2026-04-06
https://www.pisos.com/alquilar/duplex-el_barri_gotic08002-62521670206_101800/,,5200,,293 m²,,2,,,3578,2026-04-06
https://www.pisos.com/alquilar/piso-la_vila_de_gracia08037-62569894817_101800/,,9000,,248 m²,,5,,,3316,2026-04-06
https://www.pisos.com/alquilar/piso-la_dreta_de_eixample-62590480097_101800/,,8950,,210 m²,,4,,,3952,2026-04-06
https://www.pisos.com/alquilar/piso-les_tres_torres08021-62513828513_101800/,,6000,,194 m²,,5,,,4114,2026-04-06
https://www.pisos.com/alquilar/piso-antiga_esquerra_de_eixample-62537231437_101800/,,6900,,305 m²,,3,,,2225,2026-04-06
https://www.pisos.com/alquilar/piso-les_tres_torres08021-62560700818_101800/,,6000,,194 m²,,5,,,4113,2026-04-06
https://www.pisos.com/alquilar/piso-les_tres_torres08021-62521909329_101800/,,4000,,159 m²,,4,,,4198,2026-04-06
https://www.pisos.com/alquilar/piso-les_tres_torres08021-62561809536_101800/,,5500,,190 m²,,4,,,4161,2026-04-06
https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08003-62598328853_101800/,,3200,,151 m²,,3,,,4025,2026-04-06
https://www.pisos.com/alquilar/piso-les_corts_barrio-62516761343_101800/,,3695,,103 m²,,3,,,4150,2026-04-06
https://www.pisos.com/alquilar/piso-sant_gervasi_galvany08006-62524463271_996754/,,5200,,230 m²,,1,,8ª,000220,2026-04-06
https://www.pisos.com/alquilar/piso-la_sagrada_familia-62530309512_101800/,,2600,,86 m²,,2,,,4219,2026-04-06
https://www.pisos.com/alquilar/atico-la_dreta_de_eixample-62544502960_101800/,,10500,,146 m²,,2,,,3112,2026-04-06
https://www.pisos.com/alquilar/piso-la_vila_de_gracia08037-62557527892_101800/,,4263,,220 m²,,4,,,1082,2026-04-06
https://www.pisos.com/alquilar/piso-la_nova_esquerra_de_eixample08029-61672913274_100500/,,2170,,110 m²,,3,,4ª,JUDD,2026-04-06
https://www.pisos.com/alquilar/atico-el_fort_pienc08013-62536153963_100500/,,4770,,100 m²,,3,,7ª,PHANES,2026-04-06
https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08009-62548492842_100500/,,2965,,86 m²,,3,,4ª,ALUMA,2026-04-06
https://www.pisos.com/alquilar/apartamento-barcelona_capital_eixample-62537577124_106700/,,4200,,110 m²,,3,,,Central Place VI,2026-04-06
https://www.pisos.com/alquilar/piso-ciutat_vella-62521132458_106700/,,4200,,220 m²,,3,,,Amazing Borne Penthouse with Terrace,2026-04-06
https://www.pisos.com/alquilar/piso-ciutat_vella-62523400090_106700/,,3500,,50 m²,,1,,,Cathedral Penthouse Terrace,2026-04-06
