url,titol,descripcio,preu_eur,ubicacio,superficie_construida_m2,superficie_util_m2,habitacions,banys,planta,antiguitat_anys,referencia,moblat,armaris_empotrats,calefaccio,cuina_equipada,ascensor,terrassa,data_extraccio
https://www.pisos.com/alquilar/piso-ciutat_vella_la_barceloneta08003-64237187750_106400/,Piso en alquiler en La Barceloneta en La Barceloneta por 1.180 €/mes,"**piso en alquiler en barceloneta - ¡tu nuevo hogar a pasos de la playa! ** ¡descubre este encantador apartamento amueblado disponible a partir del 1º de julio de 2026 en la vibrante zona de barceloneta! situado a solo 150 metros de la playa, este piso es ideal para disfrutar del sol y el mar. C...",1180,ciutat vella la barceloneta 0 0/,45 m²,45 m²,2,1,Bajo,Más de 50 años,107074043-R402326,,,,,,,2026-05-26
https://www.pisos.com/alquilar/piso-barcelona_capital_eixample-62557546699_106700/,Piso en alquiler en Fort Pienc en Eixample por 4.200 €/mes,"Nuestras tarifas inician desde 2000€, variando según la temporada y la residencia seleccionada. Para brindarte la mejor atención, por favor contáctanos y consulta disponibilidad y precio exacto para tus fechas. Piso turistico está situado en el centro de uno de nuestros apartamentos en barcelon...",4200,eixample 9 0/,75 m²,75 m²,3,2,,,Tucson Suites III,,,,,,,2026-05-26
https://www.pisos.com/alquilar/piso-el_raval-64188975637_106400/,Piso en alquiler en El Raval en El Raval por 3.350 €/mes,Oportunidad de alquiler en el corazón de barcelona! ***alquiler de temporada *** fotos de referencia. Consumos a parte. 200€/mes. Este exclusivo piso renovado te espera a solo cinco minutos de paseo de gracia. Disfruta de un espacio sofisticado y amplio en un edificio rehabilitado con materiales...,3350,el raval 7 0/,111 m²,111 m²,3,3,4ª,Entre 10 y 20 años,97473188-Gravina8,,,,,,,2026-05-26
https://www.pisos.com/alquilar/piso-sant_gervasi_galvany-64175065053_106400/,Piso en alquiler en Sant Gervasi-Galvany en Sant Gervasi-Galvany por 1.600 €/mes,"Disponible desde el 16 de junio - alquiler temporal para uso vacacional ¡bienvenido a este acogedor apartamento situado en el tranquilo y exclusivo barrio de sant gervasi, una de las mejores zonas residenciales de barcelona! ubicado en un edificio moderno con ascensor, este apartamento destaca po...",1600,sant gervasi galvany 3 0/,45 m²,45 m²,1,1,1ª,Menos de 5 años,106769880-MC.1.1-2JUN,,,,,,,2026-05-26
https://www.pisos.com/alquilar/piso-el_raval-64191985641_106400/,Piso en alquiler en El Raval en El Raval por 3.300 €/mes,"**piso en alquiler temporal en el corazón de barcelona - eixample** ¡descubre este espectacular piso amueblado y equipado, situado en un edificio clásico del eixample, completamente renovado, este hogar ofrece un equilibrio perfecto entre modernidad y encanto histórico. Con 100 m² construidos y ...",3300,el raval 1 0/,150 m²,150 m²,3,3,2ª,Entre 10 y 20 años,98628073-Gravina 2H,,,,,,,2026-05-26
https://www.pisos.com/alquilar/piso-el_fort_pienc-63407815690_106400/,Piso en alquiler en El Fort Pienc en El Fort Pienc por 1.550 €/mes,"Disponible desde 29 de enero de 2026 alquiler de temporada para uso vacacional, recreativo o de ocio. Este apartamento sólo está disponible para estancias temporales y no es adecuado para uso turístico o residencial permanente. Al hacer la reserva, los huéspedes deben proporcionar un motivo de vi...",1550,el fort pienc 0 0/,60 m²,60 m²,1,1,1ª,Entre 5 y 10 años,106696676-JUN - RF.LOCAL,,,,,,,2026-05-26
https://www.pisos.com/alquilar/piso-sant_gervasi_galvany-63418529648_106400/,Piso en alquiler en Sant Gervasi-Galvany en Sant Gervasi-Galvany por 2.200 €/mes,"Vivienda que solo admite estancias de temporada para finalidad de uso recreativo, turístico o de temporada de vacaciones, mínimo 32 noches, de acuerdo con el articulo 66 bis de la ley 18/2007, del derecho a la vivienda, disponible 7 de junio de 2.026 ¡bienvenido a este apartamento con una gran te...",2200,sant gervasi galvany 8 0/,80 m²,80 m²,2,1,2ª,Menos de 5 años,107744881-Jun7 - MC.2.2-L.D,,,,,,,2026-05-26
https://www.pisos.com/alquilar/piso-sant_gervasi_galvany-63340047826_106400/,Piso en alquiler en Sant Gervasi-Galvany en Sant Gervasi-Galvany por 2.200 €/mes,"Vivienda que solo admite estancias de temporada para finalidad de uso recreativo, turístico o de temporada de vacaciones, mínimo 32 noches, de acuerdo con el articulo 66 bis de la ley 18/2007, del derecho a la vivienda, disponible 30 de abril de 2.026 bienvenido a este espacioso apartamento de 85...",2200,sant gervasi galvany 6 0/,85 m²,85 m²,2,1,3ª,Entre 10 y 20 años,106773269-Sep1-P18.3.1-LD,,,,,,,2026-05-26
https://www.pisos.com/alquilar/atico-sant_gervasi_galvany-63429390331_106400/,Ático en alquiler en Sant Gervasi-Galvany en Sant Gervasi-Galvany por 2.000 €/mes,"Vivienda que solo admite estancias de temporada para finalidad de uso recreativo, turístico o de temporada de vacaciones, mínimo 32 noches, de acuerdo con el articulo 66 bis de la ley 18/2007, del derecho a la vivienda, disponible desde el 13 de febrero 2.026 ¡bienvenidos al ático en barcelona pa...",2000,sant gervasi galvany 1 0/,75 m²,75 m²,2,1,3ª,Entre 10 y 20 años,106750317-Dic31-P18.3.3-LD,,,,,,,2026-05-26
https://www.pisos.com/alquilar/atico-sant_gervasi_galvany-63426345704_106400/,Ático en alquiler en Sant Gervasi-Galvany en Sant Gervasi-Galvany por 3.000 €/mes,"Alquiler mínimo de 32 días para uso recreativo o vacacional nota: todos los alquileres deben tener una duración temporal de 32 noches a 6 meses y solo pueden ser destinados al uso vacacional, de ocio recreativo, según lo establecido en el último decreto del 26/2024. Este apartamento para ejecutiv...",3000,sant gervasi galvany 4 0/,80 m²,80 m²,2,1,2ª,Entre 20 y 30 años,100058509-Abr25-P14.2.3 1704,,,,,,,2026-05-26
https://www.pisos.com/alquilar/piso-sant_gervasi_galvany-63338980760_106400/,Piso en alquiler en Sant Gervasi-Galvany en Sant Gervasi-Galvany por 3.000 €/mes,"Alquiler de temporada para uso vacacional, recreativo o de ocio. Bienvenido a este apartamento ejecutivo ubicado en el centro de barcelona, ideal para 6 personas. Este espacioso apartamento de 90 m² se encuentra en un edificio moderno con ascensor. Cuenta con tres habitaciones: una con cama doble...",3000,sant gervasi galvany 0 0/,85 m²,85 m²,3,1,7ª,,108272109-P18 2.2,,,,,,,2026-05-26
https://www.pisos.com/alquilar/piso-sant_gervasi_galvany-63409416923_106400/,Piso en alquiler en Sant Gervasi-Galvany en Sant Gervasi-Galvany por 1.800 €/mes,"Vivienda que solo admite estancias de temporada para finalidad de uso recreativo, turístico o de temporada de vacaciones, mínimo 32 noches, de acuerdo con el articulo 66 bis de la ley 18/2007, del derecho a la vivienda, disponible 30 noviembre 2.026 ¡bienvenido a este encantador apartamento con u...",1800,sant gervasi galvany 3 0/,53 m²,53 m²,1,1,2ª,,103672914-Jun2-.MC.1.1,,,,,,,2026-05-26
https://www.pisos.com/alquilar/piso-sant_gervasi_galvany-63336787966_106400/,Piso en alquiler en Sant Gervasi-Galvany en Sant Gervasi-Galvany por 1.800 €/mes,"Disponible desde el 8 de febrero de 2026 alquiler temporal - disponibilidad inmediata disponible solo para alquileres de más de 32 días con fines de ocio, vacaciones, recreativos o culturales, y siempre que se acompañen de la documentación correspondiente que acredite dicha finalidad. Piso de tem...",1800,sant gervasi galvany 6 0/,55 m²,55 m²,1,1,Bajo,,108201251-Abr21 - .MC.E.D-LD,,,,,,,2026-05-26
https://www.pisos.com/alquilar/apartamento-ciutat_vella-64239431774_106700/,Apartamento en alquiler en Ciutat Vella en Ciutat Vella por 3.700 €/mes,"Disfruta de un diseño contemporáneo y funcional en este increíble apartamento. Desde el primer paso, te recibirá un salón inundado de luz natural, complementado con un mobiliario minimalista en tonos blancos y toques de color que crean un ambiente acogedor. Cocina de vanguardia: totalmente equip...",3700,ciutat vella 4 0/,45 m²,45 m²,2,1,,,piso plaza cataluña,,,,,,,2026-05-26
https://www.pisos.com/alquilar/piso-barcelona_capital_eixample-62574750170_106700/,Piso en alquiler en Dreta de L'Eixample en Eixample por 3.500 €/mes,"Nuestras tarifas inician desde 2000€, variando según la temporada y la residencia seleccionada. Para brindarte la mejor atención, por favor contáctanos y consulta disponibilidad y precio exacto para tus fechas. Piso turistico vas a viajar a barcelona por negocios? vacaciones en familia o con am...",3500,eixample 0 0/,58 m²,58 m²,1,1,,,Central Place Terrace,,,,,,,2026-05-26
https://www.pisos.com/alquilar/piso-ciutat_vella-62521132458_106700/,"Piso en alquiler en Sant Pere, Sta. Caterina I La Ribera en Ciutat Vella por 4.200 €/mes","Nuestras tarifas inician desde 2000€, variando según la temporada y la residencia seleccionada. Para brindarte la mejor atención, por favor contáctanos y consulta disponibilidad y precio exacto para tus fechas. Piso temporal ven a barcelona y disfruta de un encantador apartamento de 140m2 ideal ...",4200,ciutat vella 8 0/,220 m²,220 m²,3,2,,,Amazing Borne Penthouse with Terrace,,,,,,,2026-05-26
https://www.pisos.com/alquilar/piso-sant_marti-62558698191_106700/,Piso en alquiler en El Camp de L'Arpa del Clot en Sant Martí por 3.700 €/mes,"Nuestras tarifas inician desde 2000€, variando según la temporada y la residencia seleccionada. Para brindarte la mejor atención, por favor contáctanos y consulta disponibilidad y precio exacto para tus fechas. Piso turistico el market suites es un moderno apartamento en barcelona con aire acon...",3700,sant marti 1 0/,70 m²,70 m²,2,1,,,Market Suites,,,,,,,2026-05-26
https://www.pisos.com/alquilar/piso-la_dreta_de_eixample-64239439207_106400/,Piso en alquiler en La Dreta de L'Eixample en La Dreta de l'Eixample por 1.515 €/mes,"A 1 minuto de plaza cataluña y la rambla, un poco más arriba del liceo y la boquería como puntos de referencia, encontramos este fantástico piso, en una zona inmejorable y muy bien comunicada, en el centro histórico. Se trata de un inmueble reformado con todo lujo de detalle, restaurado de forma ...",1515,la dreta de eixample 7 0/,75 m²,75 m²,1,1,1ª,,106029867-000643,,,,,,,2026-05-26
https://www.pisos.com/alquilar/piso-ciutat_vella-64244434712_106400/,Piso en alquiler en Ciutat Vella en Ciutat Vella por 2.800 €/mes,"Descubra este elegante apartamento, estratégicamente situado en la prestigiosa gran via de les corts catalanes, esquina con la calle balmes, a solo un paso de plaza universitat y del vibrante centro de la ciudad. Una propiedad ideal para quienes buscan calidad de vida, confort y una excelente com...",2800,ciutat vella 2 0/,158 m²,158 m²,2,2,4ª,Más de 50 años,110083336-110083336,,,,,,,2026-05-26
