"preu_eur","ubicacio","superficie_construida_m2","habitacions","banys","planta","antiguitat_anys","armaris_empotrats","calefaccio","cuina_equipada","planta_num","antiguitat_num","armaris_bin","calefaccio_bin","cuina_bin","preu_m2","cluster"
2357,"El Raval",78,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",30.22,"4"
1250,"Vilapicina La Torre Llobeta",55,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",22.73,"4"
1464,"Eixample Sant Antoni",65,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",22.52,"4"
1430,"El Besos El Maresme",24,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",59.58,"4"
2400,"El Fort Pienc",40,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",60,"4"
2550,"Gracia La Salut",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",42.5,"4"
3000,"Gracia La Salut",75,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",40,"4"
2850,"Sant Pere Santa Caterina La Ribera",62,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",45.97,"4"
2850,"Gracia La Salut",75,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",38,"4"
3000,"Gracia La Salut",76,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",39.47,"4"
2550,"Gracia La Salut",75,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",34,"4"
3750,"Gracia La Salut",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",62.5,"4"
2550,"Gracia La Salut",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",42.5,"4"
3000,"Gracia La Salut",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",50,"4"
3000,"Gracia La Salut",75,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",40,"4"
2850,"Gracia La Salut",75,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",38,"4"
2850,"Gracia La Salut",75,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",38,"4"
2850,"Gracia La Salut",76,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",37.5,"4"
3000,"Gracia La Salut",76,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",39.47,"4"
2550,"Les Corts Barrio",40,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",63.75,"4"
3000,"Les Corts Barrio",62,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",48.39,"4"
3000,"Les Corts Barrio",65,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",46.15,"4"
3000,"Les Corts Barrio",50,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",60,"4"
3000,"Les Corts Barrio",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",50,"4"
2850,"Les Corts Barrio",65,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",43.85,"4"
2850,"Antiga Esquerra De Eixample",55,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",51.82,"4"
